Url,Command,Arguments
http://opensees.berkeley.edu/wiki/index.php/Constant_TimeSeries,Constant,timeSeries Constant $tag <-factor $cFactor>
http://opensees.berkeley.edu/wiki/index.php/ContactMaterial2D,ContactMaterial2D,nDMaterial ContactMaterial2D $matTag $mu $G $c $t 
http://opensees.berkeley.edu/wiki/index.php/ContactMaterial3D,ContactMaterial3D,nDMaterial ContactMaterial3D $matTag $mu $G $c $t 
http://opensees.berkeley.edu/wiki/index.php/Corotational_Transformation,Corotational,geomTransf Corotational $transfTag <-jntOffset $dXi $dYi $dXj $dYj>
http://opensees.berkeley.edu/wiki/index.php/Corotational_Transformation,Corotational,geomTransf Corotational $transfTag $vecxzX $vecxzY $vecxzZ 
http://opensees.berkeley.edu/wiki/index.php/Corotational_Truss_Element,corotTruss,element corotTruss $eleTag $iNode $jNode $A $matTag <-rho $rho> <-cMass $cFlag> <-doRayleigh $rFlag>
http://opensees.berkeley.edu/wiki/index.php/Corotational_Truss_Element,corotTrussSection,element corotTrussSection $eleTag $iNode $jNode $secTag <-rho $rho> <-cMass $cFlag> <-doRayleigh $rFlag>
http://opensees.berkeley.edu/wiki/index.php/Coulomb_Friction,Coulomb,frictionModel Coulomb $frnTag $mu
http://opensees.berkeley.edu/wiki/index.php/CoupledZeroLength_Element,CoupledZeroLength,element CoupledZeroLength $eleTag $iNode $jNode  $dirn1 $dirn2 $matTag <$rFlag>
http://opensees.berkeley.edu/wiki/index.php/Cusp,CuSP,system CuSP -rTol $RTOL -mInt $MINT -pre $PRE -solver $SOLVER
http://opensees.berkeley.edu/wiki/index.php/CycLiqCP_Material_(Cyclic_ElasticPlasticity),CycLiqCP,nDmaterial CycLiqCP $matTag $G0 $kappa $h $Mfc $dre1 $Mdc $dre2 $rdr $alpha $dir $ein <$rho>
http://opensees.berkeley.edu/wiki/index.php/CycLiqCPSP_Material,CycLiqCPSP,nDmaterial CycLiqCPSP $matTag $G0 $kappa $h $M $dre1 $dre2 $rdr $alpha $dir $lambdac $ksi $e0 $np $nd $ein <$rho>
http://opensees.berkeley.edu/wiki/index.php/Damage2p,Damage2p,nDMaterial Damage2p $matTag $fcc <-fct $fct> <-E $E> <-ni $ni> <-Gt $Gt> <-Gc $Gc> <-rho_bar $rho_bar> <-H $H> <-theta $theta> <-tangent $tangent>
http://opensees.berkeley.edu/wiki/index.php/Displacement-Based_Beam-Column_Element,dispBeamColumn,element dispBeamColumn $eleTag $iNode $jNode $numIntgrPts $secTag $transfTag <-mass $massDens> <-cMass> <-integration $intType>
http://opensees.berkeley.edu/wiki/index.php/Displacement-Based_Beam-Column_Element,dispBeamColumn,element dispBeamColumn $eleTag $iNode $jNode $numIntgrPts -sections $secTag1 $secTag2 ... $transfTag <-mass $massDens> <-cMass> <-integration $intType>
http://opensees.berkeley.edu/wiki/index.php/Flexure-Shear_Interaction_Displacement-Based_Beam-Column_Element,dispBeamColumnInt,element dispBeamColumnInt $eleTag $iNode $jNode $numIntgrPts $secTag $transfTag $cRot <-mass $massDens>
http://opensees.berkeley.edu/wiki/index.php/Displacement_Control,DisplacementControl,integrator DisplacementControl $node $dof $incr <$numIter $
http://opensees.berkeley.edu/wiki/index.php/DoddRestrepo,Dodd_Restrepo,uniaxialMaterial Dodd_Restrepo $tag $Fy $Fsu $ESH $ESU $Youngs $ESHI $FSHI <$OmegaFac>
http://opensees.berkeley.edu/wiki/index.php/Drift_Recorder,Drift,recorder Drift <-file $fileName> <-xml $fileName> <-binary $fileName> <-tcp $inetAddress $port> <-precision $nSD> <-time> -iNode $inode1 $inode2 ... -jNode $jnode1 $jnode2 ... -dof $dof1 $dof2 ... -perpDirn $perpDirn1 $perpDirn2 ...
http://opensees.berkeley.edu/wiki/index.php/Drucker_Prager,DruckerPrager,nDMaterial DruckerPrager $matTag $k $G $sigmaY $rho $rhoBar $Kinf $Ko $delta1 $delta2 $H $theta $density <$atmPressure>
http://opensees.berkeley.edu/wiki/index.php/Engineered_Cementitious_Composites_Material,ECC01,uniaxialMaterial ECC01 $matTag $sigt0 $epst0 $sigt1 $epst1 $epst2 $sigc0 $epsc0 $epsc1 $alphaT1 $alphaT2 $alphaC $alphaCU $betaT $betaC
http://opensees.berkeley.edu/wiki/index.php/Elastic_Uniaxial_Material,Elastic,uniaxialMaterial Elastic $matTag $E <$eta> <$Eneg>
http://opensees.berkeley.edu/wiki/index.php/Elastic_Beam_Column_Element,elasticBeamColumn,element elasticBeamColumn $eleTag $iNode $jNode $A $E $Iz $transfTag <-mass $massDens> <-cMass>
http://opensees.berkeley.edu/wiki/index.php/Elastic_Beam_Column_Element,elasticBeamColumn,element elasticBeamColumn $eleTag $iNode $jNode $A $E $G $J $Iy $Iz $transfTag <-mass $massDens> <-cMass>
http://opensees.berkeley.edu/wiki/index.php/ElasticBilin_Material,ElasticBilin,uniaxialMaterial ElasticBilin $matTag $EP1 $EP2 $epsP2 <$EN1 $EN2 $epsN2>
http://opensees.berkeley.edu/wiki/index.php/Elastic_Isotropic_Material,ElasticIsotropic,nDMaterial ElasticIsotropic $matTag $E $v <$rho>
http://opensees.berkeley.edu/wiki/index.php/Elastic_Membrane_Plate_Section,ElasticMembranePlateSection,section ElasticMembranePlateSection $secTag $E $nu $h $rho
http://opensees.berkeley.edu/wiki/index.php/ElasticMultiLinear_Material,ElasticMultiLinear,uniaxialMaterial ElasticMultiLinear $matTag <$eta> -strain $strainPoints -stress $stressPoints
http://opensees.berkeley.edu/wiki/index.php/Elastic_Orthotropic_Material,ElasticOrthotropic,nDMaterial ElasticOrthotropic $matTag $Ex $Ey $Ez $vxy $vyz $vzx $Gxy $Gyz $Gzx <$rho>
http://opensees.berkeley.edu/wiki/index.php/Elastic-Perfectly_Plastic_Material,ElasticPP,uniaxialMaterial ElasticPP $matTag $E $epsyP <$epsyN $eps0>
http://opensees.berkeley.edu/wiki/index.php/Elastic-Perfectly_Plastic_Gap_Material,ElasticPPGap,uniaxialMaterial ElasticPPGap $matTag $E $Fy $gap <$eta> <damage>
http://opensees.berkeley.edu/wiki/index.php/Elastic_Timoshenko_Beam_Column_Element,ElasticTimoshenkoBeam,element ElasticTimoshenkoBeam $eleTag $iNode $jNode $E $G $A $Iz $Avy $transfTag <-mass $massDens> <-cMass>
http://opensees.berkeley.edu/wiki/index.php/Elastic_Timoshenko_Beam_Column_Element,ElasticTimoshenkoBeam,element ElasticTimoshenkoBeam $eleTag $iNode $jNode $E $G $A $Jx $Iy $Iz $Avy $Avz $transfTag <-mass $massDens> <-cMass>
http://opensees.berkeley.edu/wiki/index.php/ElasticTubularJoint_Element,ElasticTubularJoint,element  ElasticTubularJoint  $Tag  $iNode  $jNode  $Brace_Diameter  $Brace_Angle  $E  $Chord_Diameter  $Chord_Thickness  $Chord_Angle
http://opensees.berkeley.edu/wiki/index.php/Elastomeric_Bearing_(Bouc-Wen)_Element,elastomericBearingBoucWen,element elastomericBearingBoucWen $eleTag $iNode $jNode $kInit $qd $alpha1 $alpha2 $mu $eta $beta $gamma -P $matTag -Mz $matTag <-orient $x1 $x2 $x3 $y1 $y2 $y3> <-shearDist $sDratio> <-doRayleigh> <-mass $m>
http://opensees.berkeley.edu/wiki/index.php/Elastomeric_Bearing_(Bouc-Wen)_Element,elastomericBearingBoucWen,element elastomericBearingBoucWen $eleTag $iNode $jNode $kInit $qd $alpha1 $alpha2 $mu $eta $beat $gamma -P $matTag -T $matTag -My $matTag -Mz $matTag <-orient <$x1 $x2 $x3> $y1 $y2 $y3> <-shearDist $sDratio> <-doRayleigh> <-mass $m>
http://opensees.berkeley.edu/wiki/index.php/Elastomeric_Bearing_(Plasticity)_Element,elastomericBearingPlasticity,element elastomericBearingPlasticity $eleTag $iNode $jNode $kInit $qd $alpha1 $alpha2 $mu -P $matTag -Mz $matTag <-orient $x1 $x2 $x3 $y1 $y2 $y3> <-shearDist $sDratio> <-doRayleigh> <-mass $m>
http://opensees.berkeley.edu/wiki/index.php/Elastomeric_Bearing_(Plasticity)_Element,elastomericBearingPlasticity,element elastomericBearingPlasticity $eleTag $iNode $jNode $kInit $qd $alpha1 $alpha2 $mu -P $matTag -T $matTag -My $matTag -Mz $matTag <-orient <$x1 $x2 $x3> $y1 $y2 $y3> <-shearDist $sDratio> <-doRayleigh> <-mass $m>
http://opensees.berkeley.edu/wiki/index.php/ElastomericX,ElastomericX,element ElastomericX $eleTag $Nd1 $Nd2 $Fy $alpha $Gr $Kbulk $D1 $D2 $ts $tr $n <<$x1 $x2 $x3> $y1 $y2 $y3> <$kc> <$PhiM> <$ac> <$sDratio> <$m> <$cd> <$tc> <$tag1> <$tag2> <$tag3> <$tag4>
http://opensees.berkeley.edu/wiki/index.php/Element_Recorder,Element,recorder Element <-file $fileName> <-xml $fileName> <-binary $fileName> <-precision $nSD> <-time> <-closeOnWrite> <-dT $deltaT> <-ele ($ele1 $ele2 ...)> <-eleRange $startEle $endEle> <-region $regTag>  $arg1 $arg2 ...
http://opensees.berkeley.edu/wiki/index.php/Energy_Increment_Test,EnergyIncr,test EnergyIncr $tol $iter <$pFlag> <$nType>
http://opensees.berkeley.edu/wiki/index.php/Enhanced_Strain_Quadrilateral_Element,enhancedQuad,element enhancedQuad $eleTag $iNode $jNode $kNode $lNode $thick $type $matTag
http://opensees.berkeley.edu/wiki/index.php/Elastic-No_Tension_Material,ENT,uniaxialMaterial ENT $matTag $E
http://opensees.berkeley.edu/wiki/index.php/ElementEnvelopeRecorder,EnvelopeElement,recorder EnvelopeElement <-file $fileName> <-xml $fileName> <-binary $fileName> <-precision $nSD> <-time> <-closeOnWrite> <-ele ($ele1 $ele2 ...)> <-eleRange $startEle $endEle> <-region $regTag>  $arg1 $arg2 ...
http://opensees.berkeley.edu/wiki/index.php/Node_Envelope_Recorder,EnvelopeNode,recorder EnvelopeNode <-file $fileName> <-xml $fileName> <-precision $nSD> <-time> <-closeOnWrite> <-timeSeries $tsTag> <-node $node1 $node2 ...> <-nodeRange $startNode $endNode> <-region $regionTag> -dof ($dof1 $dof2 ...) $respType'
http://opensees.berkeley.edu/wiki/index.php/Explicit_Difference,Explicitdifference,integrator Explicitdifference
http://opensees.berkeley.edu/wiki/index.php/Plane_Stress_Concrete_Materials,FAFourSteelPCPlaneStress,nDMaterial FAFourSteelPCPlaneStress matTag? rho? t1? t2? s3? s4? c1? c2? angle1? angle2? angle3? angle4? rou1? rou2? rou3? rou4? pstrain1? pstrain2? fpc? fyT? fy? E0? epsc0?
http://opensees.berkeley.edu/wiki/index.php/Plane_Stress_Concrete_Materials,FAFourSteelRCPlaneStress,nDMaterial FAFourSteelRCPlaneStress matTag? rho? UniaxiaMatTag1? UniaxiaMatTag2? UniaxiaMatTag3? UniaxiaMatTag4? UniaxiaMatTag5? UniaxiaMatTag6? angle1? angle2? angle3? angle4? rou1? rou2? rou3? rou4? fpc? fy? E0? epsc0?
http://opensees.berkeley.edu/wiki/index.php/Plane_Stress_Concrete_Materials,FAPrestressedConcretePlaneStress,nDMaterial FAPrestressedConcretePlaneStress matTag? rho? t1? s2? c1? c2? angle1? angle2? rou1? rou2? pstrain? fpc? fyT? fy? E0? epsc0?
http://opensees.berkeley.edu/wiki/index.php/Plane_Stress_Concrete_Materials,FAReinforcedConcretePlaneStress,nDMaterial FAReinforcedConcretePlaneStress matTag? rho? s1? s2? c1? c2? angle1? angle2? rou1? rou2? fpc? fy? E0? epsc0?
http://opensees.berkeley.edu/wiki/index.php/Fatigue_Material,Fatigue,uniaxialMaterial Fatigue $matTag $tag <-E0 $E0> <-m $m> <-min $min> <-max $max> 
http://opensees.berkeley.edu/wiki/index.php/Flexure-Shear_Interaction_Displacement-Based_Beam-Column_Element,FiberInt,section FiberInt $secTag -NStrip $nStrip1 $thick1 $nStrip2 $thick2 $nStrip3 $thick3
http://opensees.berkeley.edu/wiki/index.php/Fixed_Number_of_Iterations,FixedNumIter,test FixedNumIter $iter <$pFlag> <$nType>
http://opensees.berkeley.edu/wiki/index.php/Flat_Slider_Bearing_Element,flatSliderBearing,element flatSliderBearing $eleTag $iNode $jNode $frnMdlTag $kInit -P $matTag -Mz $matTag <-orient $x1 $x2 $x3 $y1 $y2 $y3> <-shearDist $sDratio> <-doRayleigh> <-mass $m> <-iter $maxIter $tol>
http://opensees.berkeley.edu/wiki/index.php/Flat_Slider_Bearing_Element,flatSliderBearing,element flatSliderBearing $eleTag $iNode $jNode $frnMdlTag $kInit -P $matTag -T $matTag -My $matTag -Mz $matTag <-orient <$x1 $x2 $x3> $y1 $y2 $y3> <-shearDist $sDratio> <-doRayleigh> <-mass $m> <-iter $maxIter $tol>
http://opensees.berkeley.edu/wiki/index.php/FluidSolidPorousMaterial,FluidSolidPorousMaterial,nDMaterial FluidSolidPorousMaterial $tag  $nd  $soilMatTag  $combinedBulkModul <$pa=101>
http://opensees.berkeley.edu/wiki/index.php/Force-Based_Beam-Column_Element,forceBeamColumn,"element forceBeamColumn $eleTag $iNode $jNode $transfTag IntegrationType arg1 arg2 ..."" <-mass $massDens> <-iter $maxIters $tol>"
http://opensees.berkeley.edu/wiki/index.php/Force-Based_Beam-Column_Element,forceBeamColumn,element forceBeamColumn $eleTag $iNode $jNode $numIntgrPts $secTag $transfTag <-mass $massDens> <-iter $maxIters $tol> <-integration $intType>
http://opensees.berkeley.edu/wiki/index.php/Beam_With_Hinges_Element,forceBeamColumn,"element forceBeamColumn $eleTag $iNode $jNode $transfTag ""HingeRadau $secTagI $LpI $secTagJ $LpJ $secTagInterior"" <-mass $massDens> <-iter $maxIters $tol>"
http://opensees.berkeley.edu/wiki/index.php/FourNodeTetrahedron,FourNodeTetrahedron,element FourNodeTetrahedron $eleTag $node1 $node2 $node3 $node4 $matTag <$b1 $b2 $b3>
http://opensees.berkeley.edu/wiki/index.php/FPBearingPTV,FPBearingPTV,element FPBearingPTV $eleTag $iNode $jNode $MuRef $IsPressureDependent $pRef $isTemperatureDependent $Diffusivity $Conductivity $IsVelocityDependent $rateParameter $ReffectiveFP $Radius_Contact $kInitial $theMaterialA $theMaterialB $theMaterialC $theMaterialD $x1 $x2 $x3 $y1 $y2 $y3 $shearDist $doRayleigh $mass $iter $tol $unit
http://opensees.berkeley.edu/wiki/index.php/FRPConfinedConcrete,FRPConfinedConcrete,"uniaxialMaterial FRPConfinedConcrete $matTag  $fpc1  $fpc2  $epsc0  $D	$c $Ej	$Sj      $tj	$eju     $S   $fyl   $fyh       $dlong 	   $dtrans      $Es     $vo       $k       $useBuck"
http://opensees.berkeley.edu/wiki/index.php/User_talk:Kkolozvari,FSAM,nDMaterial   FSAM   $mattag     $rho    $sX    $sY    $conc    $rouX    $rouY    $nu    $alfadow
http://opensees.berkeley.edu/wiki/index.php/FSAM_-_2D_RC_Panel_Constitutive_Behavior,FSAM,nDMaterial   FSAM   $mattag     $rho    $sX    $sY    $conc    $rouX    $rouY    $nu    $alfadow
http://opensees.berkeley.edu/wiki/index.php/FullGeneral,FullGeneral,system FullGeneral
http://opensees.berkeley.edu/wiki/index.php/Generalized_Alpha_Method,GeneralizedAlpha,integrator GeneralizedAlpha $alphaM $alphaF <$gamma $beta> 
http://opensees.berkeley.edu/wiki/index.php/Hardening_Material,Hardening,uniaxialMaterial Hardening $matTag $E $sigmaY $H_iso $H_kin <$eta>
http://opensees.berkeley.edu/wiki/index.php/HDR,HDR,element HDR $eleTag $Nd1 $Nd2 $Gr $Kbulk $D1 $D2 $ts $tr $n $a1 $a2 $a3 $b1 $b2 $b3 $c1 $c2 $c3 $c4 <<$x1 $x2 $x3> $y1 $y2 $y3> <$kc> <$PhiM> <$ac> <$sDratio> <$m> <$tc>
