Url,Command,Arguments
http://opensees.berkeley.edu/wiki/index.php/Restore_command,restore,restore $commitTag
http://opensees.berkeley.edu/wiki/index.php/RigidDiaphragm_command,rigidDiaphragm,rigidDiaphragm $perpDirn $masterNodeTag $slaveNodeTag1 $slaveNodeTag2 ...
http://opensees.berkeley.edu/wiki/index.php/RigidLink_command,rigidLink,rigidLink $type $masterNodeTag $slaveNodeTag
http://opensees.berkeley.edu/wiki/index.php/Save_Command,save,save $commitTag
http://opensees.berkeley.edu/wiki/index.php/Section_Command,section,section secType? secTag? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/SeMaxOpenFiles_Command,setMaxOpenFiles,setMaxOpenFiles $maxNumFiles
http://opensees.berkeley.edu/wiki/index.php/SetTime_Command,setTime,setTime $pseudoTime
http://opensees.berkeley.edu/wiki/index.php/ShallowFoundationGen,ShallowFoundationGen,ShallowFoundationGen $FoundationTag $ConnectNode $InputFileName $FootingCondition
http://opensees.berkeley.edu/wiki/index.php/Sp_Command,sp,sp $nodeTag $dofTag $dofValue
http://opensees.berkeley.edu/wiki/index.php/System_Command,system,system systemType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/Test_Command,test,test testType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/TestIter,testIter,testIter
http://opensees.berkeley.edu/wiki/index.php/TestNorms,testNorms,testNorms
http://opensees.berkeley.edu/wiki/index.php/Time_Series_Command,timeSeries,timeSeries seriesType? arg1? ...
http://opensees.berkeley.edu/OpenSees/manuals/usermanual/1261.htm,TzSimple1Gen,TzSimple1Gen $file1 $file2 $file3 $file4 $file5 <$file6>
http://opensees.berkeley.edu/wiki/index.php/UniaxialMaterial_Command,uniaxialMaterial,uniaxialMaterial matType? matTag? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/UpdateMaterialStage,updateMaterialStage,updateMaterialStage -material $tag -stage $sNum
http://opensees.berkeley.edu/wiki/index.php/Wipe_Command,wipe,wipe
http://opensees.berkeley.edu/wiki/index.php/WipeAnalysis_Command,wipeAnalysis,wipeAnalysis
